識別情報,団体コード,団体名,識別,名称,概要,通称,住所,緯度,経度,電話番号,ホームページ,バリアフリー情報,施設画像,開始時間,終了時間,利用用途,サービス情報,設備情報,利用可能なスペース,会議,公演,運動,教室,チラシ
23900001,11224,戸田市,06 文化・スポーツ施設・公園,スポーツセンター,文化・スポーツ施設・公園,スポーツセンター,大字新曽1286,35.821344,139.665382,048-443-3523,http://www.toda-spc.or.jp/,1.11E+15,23900001.jpg,9:00,21:00,運動/会議,,,,,,,,
23900002,11224,戸田市,06 文化・スポーツ施設・公園,県営戸田公園・戸田ボートコース,文化・スポーツ施設・公園,県営戸田公園・戸田ボートコース,戸田公園5-27,35.801837,139.676962,048-442-2424,http://www.parks.or.jp/koen_main/toda.html,1.11E+15,,,,,,,,,,,,
23900003,11224,戸田市,06 文化・スポーツ施設・公園,後谷公園,文化・スポーツ施設・公園,後谷公園,上戸田4-8,35.816506,139.676536,048-441-1800     (内線323),,1111100000,,,,,,,,,,,,
23900004,11224,戸田市,06 文化・スポーツ施設・公園,彩湖・道満グリーンパーク,文化・スポーツ施設・公園,彩湖・道満グリーンパーク,大字重瀬745,35.824318,139.629462,048-441-1800     (内線323),http://www.toda-greenpark.or.jp/park/doman/,1.11E+15,,,,,,,,,,,,
23900005,11224,戸田市,06 文化・スポーツ施設・公園,文化会館,文化・スポーツ施設・公園,文化会館,上戸田4-8-1,35.817444,139.676387,048-445-1311,http://www.todacity-culturehall.jp/,1.11E+15,23900005.jpg,,,,,,,,,,,
